"track_name","artist_name"
"OOO AAA","Cathedrals"
"opal ocean","slenderbodies"
"Ophelia","George Taylor"
"Oracle","Chymes"
"Orca","Until the Ribbon Breaks"
"Ostra","Yumi Zouma"
"Other Half","Rangga Jones"
"our love (feat. mabanua)","Kenichiro Nishihara"
"Out There","Art School Girlfriend"
"OUTTA MY MIND","Monsune"
"Overnight","Parcels"
"Paint The Town Red","Doja Cat"
"Painting Greys","Emmit Fenn"
"Paris in the Rain","Lauv"
"Patience","Majid Jordan"
"Phantoms & Friends","Old Man Canyon"
"Pharaoh (1987 Remix)","Flora Cash"
"Pieces","Andrew Belle"
"Plastic Love","Friday Night Plans"
"Play The Part","Two Feet"
"Please","Saro"
"Plucky","Morly"
"POPSTARS (feat. Madison Beer, (G)I-DLE, Jaira Burns) [Music Video - League of Legends]","KDA"
"positions","Ariana Grande"
"Pretty Thing","Dizzy"
"Prospect","Nesian Mystik"
"Pulsing (feat. Nina K)","Tomas Barfod"
"Quand on arrive en ville","Fhin"
"Questions","Secret Nation"
"Real","Majik"
"Red Lights","RINI"
"Red Lines","SOHN"
"Redbone","Childish Gambino"
"Reforget","Lauv"
"Résumé","Jenevieve"
"Ride","Christian Kuria"
"Rockstar","HYBS"
"Runaway (Vertical Video)","Sasha Sloan"
"Saint (Shallou Remix [Live])","Forester"
"Same as You","Eliza Shaddad"
"Saturn","SZA"
"Save Your Tears","The Weeknd"
"Say","keshi"
"Saying a Lot (speed up)","Jean Castel"
"Seaside","Haux"
"Second Nature","Stalking Gia"
"See You Now","Caly Bevier"
"Seminole","NoMBe"
"Senorita","Kurt Hugo Schneider, Madilyn Bailey"
"Serious Love","Anya Marina"
"Set for Life","Trent Dabbs"
"Settle","Vera Blue"
"Sex (With My Ex)","Fletcher"
"Shadows Of My Name","Emma Ruth Rundle"
"Shallow","Carys Selvey"
"SHIZK","Ohashi Trio"
"Should've Been You","Honey Mooncie"
"Shutdown","HUDSUN"
"Signals","zalagasper"
"Silence","Before You Exit"
"Similar","Tora"
"Sinus","Sofa Surfers"
"Sleep","So Below"
"Sleep By Rivers","Kyle Lionhart"
"Slow Down","Du Tonc"
"Slow Down","Mac Ayres"
"Slow Fade","Christian Kuria"
"Slow Song (with Dragonette)","The Knocks"
"Small Things","Ben Howard"
"Smoke","TENDER"
"Smoking In The Park (Paradise)","Tone Stith"
"Snooze","SZA"
"So","Christian Kuria"
"Sober","LLUCID & MADANII"
"Soft Spot","keshi"
"Some Feeling","Mild Orange"
"Something","Henry Green"
"Something in My Heart","Röyksopp"
"Something To Be Beautiful","Miller Blue"
"Sometimes","Babyface & Jenevieve"
"Soothing","Laura Marling"
"Stars And Moons","Dizzy"
"Status Quo","Nick Broadhurst"
"Stay Here","Henry Green"
"Stay Here (Rohne Remix)","Henry Green"
"Stayin' Alive","Say Lou Lou"
"Steady Me (feat. Aaron Cole)","Hollyn"
"Stealing Fire (Original Mix)","Bob Moses"
"Strangers","Kenya Grace"
"Super Psycho Love (2024 Remaster)","Simon Curtis"
"Swim Good","Life is Better Blonde"
"Swimmers","Zero 7"
"Symmetry","edbl & Tilly Valentine"
"Sync","HVOB"
"Table for Two","edbl & Tilly Valentine & Bran Mazz"
"Tailwhip","Men I Trust"
"Take It Further","Mina Okabe"
"Take Me To Church","Hozier"
"Take Me to the River","Kaleida"
"Take the Night","La Félix"
"Take Your Time","Sam Hunt"
"Talk","Hozier"
"Technicolour Beat","Oh Wonder"
"Telescope","Tim Legend"
"Tell me","Usher"
"Tell Me The Truth","Two Feet"
"Tell Me Why","Olive Jones & Gotts Street Park"
"The Hardest Thing","Tose Proeski"
"The Other","Lauv"
"The Other Side Of Paradise","Glass Animals"
"THE SHADE","Rex Orange County"
"There's Only One","Kim Davis"
"Think","Kaleida"
"Through Your Soul","Sworr."
"Tip Toe","HYBS"
"Toast 2 Us (feat. Benny Sings)","Tuxedo"
"Too Sweet","Hozier"
"Took a Hit","Racoon"
"Touch","MAALA"
"Traingazing","Sam Wills & Honey Mooncie"
"Tree Among Shrubs","Men I Trust"
"Trigger Hippie","Morcheeba"
"Trip N' Fall","Loving Caliber"
"Turning Teeth","Jesus & The Brides Of Dracula"
"Turns You Into Stone (feat. Fleurie)","Tommee Profitt"
"Underwater","Ana Zimmer"
"Union","Her"
"Until It's Over","spring gang"
"Unwind","Healy"
"Us","Movement"
"used to","Joshua Golden"
"Valentine’s Day","LANY"
"Victor","Prinze George"
"Violence","TENDER"
"Voyeur","Baths"
"Wait a Minute!","Willow Smith"
"Walk Away","LVNDSCAPE"
"Walkway Blues","M83"
"Want Me Gone","Tora"
"Watch Me Work","Tinashe"
"Water Flow","Klyne"
"Waterfall","Vök"
"We Belong Together","Mariah Carey (NiCo Cover)"
"we fell in love in october","girl in red"
"Werewolf","Cat Power"
"West Coast Love","Emotional Oranges"
"What Do I Do With This Heart Now","Dave Thomas Junior"
"What If","daste."
"When the Lightning Strikes","BRADD"
"Where's My Love","SYML"
"Which Way to Paradise","Poolside"
"While You Sleep","Parra for Cuva"
"Whiskey and Morphine","Alexander Jean"
"Why Do You Love Me","Charlotte Lawrence"
